Name,Animal,Gender,Weight (kg),Height (m),DOB,,,,,,,
Barney,Buffalo,M,815,1.65,11-Mar-11,,,,,,,
Buffy,Buffalo,F,553,1.02,01-Jan-11,,,,,,,
Carly,Buffalo,F,717,1.34,26-May-10,,,,,,,
Farlo,Buffalo,F,618,1.25,26-May-10,,,,,,,
Freddy,Buffalo,M,753,1.6,15-Mar-07,,,,,,,
Twoey,Buffalo,F,577,1.06,25-Sep-08,,,,,,,
Baaba,Elephant,M,5070,3.42,01-Nov-06,,,,,,,
Eleanor,Elephant,F,2389,2.28,23-Mar-07,,,,,,,
Ella,Elephant,F,2394,2.26,26-May-10,,,,,,,
Lumpy,Elephant,F,2907,2.47,01-Jan-11,,,,,,,
Santon,Elephant,M,5331,3.63,26-May-10,,,,,,,
Snorkle,Elephant,F,2916,2.5,17-Feb-11,,,,,,,
Tusky,Elephant,M,4781,3.82,17-Aug-07,,,,,,,
Vera,Elephant,F,2398,2.53,03-Sep-07,,,,,,,
Lenny,Leopard,M,48,0.58,18-Feb-11,,,,,,,
Zakumi,Leopard,F,59,0.42,03-Sep-07,,,,,,,
Jasmine,Lion,F,131,1.17,31-Dec-10,,,,,,,
Leo,Lion,M,210,1.16,17-Jan-12,,,,,,,
Prince,Lion,M,214,1.15,03-Oct-08,,,,,,,
Rajah,Lion,M,195,1.08,09-Apr-08,,,,,,,
Scar,Lion,F,161,0.96,21-Nov-08,,,,,,,
Clam,Rhinoceros,M,1385,1.76,09-Apr-08,,,,,,,
Dicey,Rhinoceros,M,1131,1.68,15-Mar-08,,,,,,,
King,Rhinoceros,M,1232,1.66,24-Nov-09,,,,,,,
Lulu,Rhinoceros,F,1179,1.63,12-Apr-11,,,,,,,
Mammo,Rhinoceros,F,869,1.52,15-Mar-08,,,,,,,
Meringo,Rhinoceros,M,1370,1.73,21-Mar-11,,,,,,,
Mikey,Rhinoceros,F,1240,1.66,25-Sep-08,,,,,,,
Nosey,Rhinoceros,M,1274,1.73,01-Mar-11,,,,,,,
Rocky,Rhinoceros,M,1575,1.8,26-May-10,,,,,,,
