Rentals During 2015,,,,,,,
,,,Days Available,,,,
,,,350,,,,
,,,,,,,
Cottage,Daily Rate,Days Rented,Income,Percentage Used,Revised Daily Rate,Revised Days Rented,Revised Income
Airedale,£100,182,,,,,
Australian,£25,231,,,,,
Bedlington,£75,217,,,,,
Border,£100,84,,,,,
Boston,£150,147,,,,,
Bull,£55,126,,,,,
Cairn,£200,224,,,,,
Cesky,£75,98,,,,,
Dandie Dinmont,£130,77,,,,,
Irish,£50,105,,,,,
Jack Russell,£50,245,,,,,
Japanese,£40,161,,,,,
Kerry Blue,£150,70,,,,,
Lakeland,£75,119,,,,,
Manchester,£50,203,,,,,
Norfolk,£100,252,,,,,
Norwich,£90,91,,,,,
Patterdale,£15,140,,,,,
Scottish,£200,91,,,,,
Sealyham,£150,210,,,,,
Skye,£75,112,,,,,
Staffordshire,£75,133,,,,,
Welsh,£25,238,,,,,
Wire Fox,£50,154,,,,,
Yorkshire,£15,63,,,,,
,,,,,,,
Total,,,,,,,
