"RENTALID","RENTALDATE","RENTALPERIOD","COTTAGEID","CONTACTID"
52,28/8/2016 00:00:00,6,"28AUS","HBO96"
53,10/7/2016 00:00:00,7,"15KER","JBR45"
54,5/6/2016 00:00:00,7,"19STA","PSM94"
55,7/8/2016 00:00:00,7,"17NOR","JBL99"
56,15/5/2016 00:00:00,9,"17NOR","MBR14"
57,14/8/2016 00:00:00,10,"18CES","JBL99"
58,19/6/2016 00:00:00,14,"25JAC","JPE44"
59,3/7/2016 00:00:00,14,"16WEL","SRA26"
60,5/6/2016 00:00:00,5,"07IRI","CPA98"
61,19/6/2016 00:00:00,10,"05SEA","SRE16"
62,24/7/2016 00:00:00,9,"24YOR","CKI94"
63,14/8/2016 00:00:00,7,"17NOR","SSM42"
64,7/8/2016 00:00:00,12,"23WIR","SRE16"
65,21/8/2016 00:00:00,13,"27NOR","SSM42"
66,5/6/2016 00:00:00,13,"29BOS","CKI94"
67,3/7/2016 00:00:00,9,"30JAP","JDA23"
68,22/5/2016 00:00:00,14,"23WIR","TJA42"
69,3/7/2016 00:00:00,12,"07IRI","HAL35"
70,21/8/2016 00:00:00,13,"24YOR","JDA23"
71,22/5/2016 00:00:00,3,"08BED","SKA96"
72,12/6/2016 00:00:00,7,"24YOR","PSM94"
73,8/5/2016 00:00:00,7,"08BED","MBR14"
74,17/7/2016 00:00:00,12,"27NOR","JBR45"
75,29/5/2016 00:00:00,11,"17NOR","EBA15"
76,8/5/2016 00:00:00,2,"27NOR","JPE44"
77,31/7/2016 00:00:00,6,"21CAI","MBR14"
78,3/7/2016 00:00:00,11,"11BUL","JPE44"
79,3/7/2016 00:00:00,14,"23WIR","KLO77"
80,12/6/2016 00:00:00,7,"05SEA","JBR45"
81,29/5/2016 00:00:00,6,"15KER","JPE44"
82,29/5/2016 00:00:00,2,"08BED","JBR45"
83,8/5/2016 00:00:00,5,"21CAI","SSM42"
84,5/6/2016 00:00:00,9,"18CES","JDA23"
85,19/6/2016 00:00:00,11,"18CES","AAN91"
86,3/7/2016 00:00:00,6,"19STA","JBL99"
87,10/7/2016 00:00:00,13,"21CAI","HBO96"
88,31/7/2016 00:00:00,8,"09SCO","EBA15"
89,19/6/2016 00:00:00,6,"12BOR","JMI33"
90,26/6/2016 00:00:00,7,"09SCO","SSM42"
91,21/8/2016 00:00:00,9,"22AIR","AAN91"
92,24/7/2016 00:00:00,12,"23WIR","JDA23"
93,8/5/2016 00:00:00,7,"05SEA","JLO52"
94,7/8/2016 00:00:00,9,"27NOR","PSM94"
95,5/6/2016 00:00:00,14,"16WEL","KLO77"
96,24/7/2016 00:00:00,13,"05SEA","AAN91"
97,31/7/2016 00:00:00,11,"02SKY","SKH93"
98,5/6/2016 00:00:00,7,"05SEA","JFI67"
99,31/7/2016 00:00:00,8,"30JAP","JMI33"
100,17/7/2016 00:00:00,5,"28AUS","SRA26"
101,12/6/2016 00:00:00,11,"08BED","SSM42"
