HISTORY_ID,WALKER_ID,COASTALWALK_ID,WALKDATE,WALKTIME
1,130,10,25/10/2016,9
2,117,14,02/02/2017,6
3,131,18,16/02/2016,2
4,122,1,06/03/2016,11
5,107,15,06/03/2016,15
6,119,1,25/09/2016,5
7,119,15,19/11/2016,12
8,118,12,06/04/2016,2
9,123,7,27/03/2017,13
10,131,12,07/12/2016,5
11,123,5,10/12/2016,3
12,132,1,05/03/2016,2
13,105,16,07/02/2017,8
14,115,8,25/02/2016,2
15,133,9,24/05/2016,4
16,113,8,21/08/2016,1
17,131,2,08/04/2017,7
18,120,16,16/09/2016,12
19,107,9,02/07/2016,3
20,128,12,25/01/2017,3
21,111,8,30/08/2016,5
22,114,18,11/10/2016,2
23,126,7,05/05/2016,9
24,118,16,10/11/2016,9
25,106,11,04/05/2016,6
26,106,13,20/02/2017,6
27,113,6,15/10/2016,5
