"HISTORY_ID","WALKER_ID","COASTALWALK_ID","WALKDATE","WALKTIME"
1,130,10,25/10/2016,9.00
2,117,14,2/2/2017,6.00
3,131,18,16/2/2016,2.00
4,122,1,6/3/2016,11.00
5,107,15,6/3/2016,15.00
6,119,1,25/9/2016,5.00
7,119,15,19/11/2016,12.00
8,118,12,6/4/2016,2.00
9,123,7,27/3/2017,13.00
10,131,12,7/12/2016,5.00
11,123,5,10/12/2016,3.00
12,132,1,5/3/2016,2.00
13,105,16,7/2/2017,8.00
14,115,8,25/2/2016,2.00
15,133,9,24/5/2016,4.00
16,113,8,21/8/2016,1.00
17,131,2,8/4/2017,7.00
18,120,16,16/9/2016,12.00
19,107,9,2/7/2016,3.00
20,128,12,25/1/2017,3.00
21,111,8,30/8/2016,5.00
22,114,18,11/10/2016,2.00
23,126,7,5/5/2016,9.00
24,118,16,10/11/2016,9.00
25,106,11,4/5/2016,6.00
26,106,13,20/2/2017,6.00
27,113,6,15/10/2016,5.00
