Job Title,Pay Grade,Hourly rate,Contracted monthly hours,Contracted pay per month,Hours worked Week 1,Hours worked Week 2,Hours worked Week 3,Hours worked Week 4,Total hours per month,Overtime hours worked,Overtime pay,Gross pay,Tax to be deducted,Net Pay,
Manager,1,,,,40,40,40,45,,,,,,,
Administrator,4,,,,30,30,30,30,,,,,,,
Safety clerk,4,,,,30,30,30,30,,,,,,,
Office cleaner,3,,,,25,25,20,25,,,,,,,
Boat cleaner 1,2,,,,42,45,40,47,,,,,,,
Boat cleaner 2,2,,,,40,45,40,45,,,,,,,
Hire representative,3,,,,20,20,20,20,,,,,,,
Meet & Greet,3,,,,20,20,20,20,,,,,,,
Maintenance ,2,,,,40,45,40,40,,,,,,,
Skipper,2,,,,50,50,45,40,,,,,,,
Crew,4,,,,40,35,35,40,,,,,,,
